0,856
,
1,48
,
231,1
,
7,4
,
3,13
,
2,22
,
1406,1
,
3465,1
,
27,1
,
131,1
,
143,1
,
731,1
,
317,1
,
4,4
,
26,1
,
1166,1
,
22,1
,
21,2
,
6,5
,
8,2
,
38,1
,
89,1
,
62,1
,
260,1
,
65,1
,
323,1
,
13,2
,
1959,1
,
23210,1
,
42,1
,
100,1
,
44,1
,
5,3
,
1199,1
,
23,1
,
1938,1
,
2329,1
,
345,1
,
113,1
,
32,1
,
28,1
,
253,1
,
76,1
,
4606,1
,
64,1
,
52,1
,
9,1
,
24,1
,
12,1
,
640,1
,
12942,1
